S.No,Date,Time,Months,Sample,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Traffic
69,,,13,9,2.384,2.505,4.8,5,95.2,2.706,2.560,#REF!,#REF!,#REF!,5.1,2.2,2.8,347830
70,,,13,10,2.365,2.505,5.6,5,94.4,2.706,2.560,#REF!,#REF!,#REF!,5.9,2.2,2.8,347830
71,20-10-2020,Month 14,14,1,2.345,2.505,6.4,4.6,93.6,2.688,2.560,#REF!,#REF!,#REF!,6.8,1.9,2.7,375507
72,,,14,2,2.349,2.505,6.2,4.6,93.8,2.688,2.560,#REF!,#REF!,#REF!,6.6,1.9,2.7,375507
73,,,14,3,2.334,2.505,6.8,4.9,93.2,2.702,2.560,#REF!,#REF!,#REF!,7.3,2.1,2.8,375507
74,,,14,4,2.326,2.505,7.1,4.9,92.9,2.702,2.560,#REF!,#REF!,#REF!,7.7,2.1,2.8,375507
75,,,14,5,2.357,2.505,5.9,4.8,94.1,2.697,2.560,#REF!,#REF!,#REF!,6.3,2.1,2.7,375507
76,,,14,6,2.364,2.505,5.6,4.8,94.4,2.697,2.560,#REF!,#REF!,#REF!,6.0,2.1,2.7,375507
77,,,14,7,2.359,2.505,5.8,4.9,94.2,2.702,2.560,#REF!,#REF!,#REF!,6.2,2.1,2.8,375507
78,,,14,8,2.353,2.505,6.1,4.9,93.9,2.702,2.560,#REF!,#REF!,#REF!,6.5,2.1,2.8,375507
79,,,14,9,2.381,2.505,5.0,5,95,2.706,2.560,#REF!,#REF!,#REF!,5.2,2.2,2.8,375507
80,,,14,10,2.366,2.505,5.5,5,94.5,2.706,2.560,#REF!,#REF!,#REF!,5.9,2.2,2.8,375507
81,12/11/2020,Month 15,15,1,2.406,2.505,4.0,5,96.1,2.706,2.560,#REF!,#REF!,#REF!,4.1,2.2,2.8,403318
82,,,15,2,2.358,2.505,5.9,5,94.1,2.706,2.560,#REF!,#REF!,#REF!,6.2,2.2,2.8,403318
83,,,15,3,2.382,2.505,4.9,5.2,95.1,2.716,2.560,#REF!,#REF!,#REF!,5.2,2.3,2.9,403318
84,,,15,4,2.322,2.505,7.3,5.2,92.7,2.716,2.560,#REF!,#REF!,#REF!,7.9,2.3,2.9,403318
85,,,15,5,2.328,2.505,7.1,4.9,92.9,2.702,2.560,#REF!,#REF!,#REF!,7.6,2.1,2.8,403318
86,,,15,6,2.324,2.505,7.2,4.9,92.8,2.702,2.560,#REF!,#REF!,#REF!,7.8,2.1,2.8,403318
87,,,15,7,2.359,2.505,5.8,5.1,94.2,2.711,2.560,#REF!,#REF!,#REF!,6.2,2.3,2.8,403318
88,,,15,8,2.31,2.505,7.8,5.1,92.2,2.711,2.560,#REF!,#REF!,#REF!,8.4,2.3,2.8,403318
89,,,15,9,2.38,2.505,5.0,4.8,95,2.697,2.560,#REF!,#REF!,#REF!,5.3,2.1,2.7,403318
90,,,15,10,2.381,2.505,5.0,4.8,95,2.697,2.560,#REF!,#REF!,#REF!,5.2,2.1,2.7,403318
91,10/12/2020,Month 16,16,1,2.361,2.505,5.7,4.4,94.2,2.679,2.560,#REF!,#REF!,#REF!,6.1,1.8,2.6,431265
92,,,16,2,2.328,2.505,7.1,4.4,92.9,2.679,2.560,#REF!,#REF!,#REF!,7.6,1.8,2.6,431265
93,,,16,3,2.358,2.505,5.9,4.9,94.1,2.702,2.560,#REF!,#REF!,#REF!,6.2,2.1,2.8,431265
94,,,16,4,2.322,2.505,7.3,4.9,92.7,2.702,2.560,#REF!,#REF!,#REF!,7.9,2.1,2.8,431265
95,,,16,5,2.26,2.505,9.8,4.4,90.2,2.679,2.560,#REF!,#REF!,#REF!,10.8,1.8,2.6,431265
96,,,16,6,2.385,2.505,4.8,4.4,95.2,2.679,2.560,#REF!,#REF!,#REF!,5.0,1.8,2.6,431265
97,,,16,7,2.38,2.505,5.0,5.1,95,2.711,2.560,#REF!,#REF!,#REF!,5.3,2.3,2.8,431265
98,,,16,8,2.369,2.505,5.4,5.1,94.6,2.711,2.560,#REF!,#REF!,#REF!,5.7,2.3,2.8,431265
99,,,16,9,2.421,2.505,3.4,4.6,96.6,2.688,2.560,#REF!,#REF!,#REF!,3.5,1.9,2.7,431265
100,,,16,10,2.361,2.505,5.7,4.6,94.2,2.688,2.560,#REF!,#REF!,#REF!,6.1,1.9,2.7,431265
101,7/1/2021,Month 17,17,1,2.337,2.505,6.7,4.5,93.3,2.684,2.560,#REF!,#REF!,#REF!,7.2,1.9,2.6,459348
102,,,17,2,2.326,2.505,7.1,4.5,92.9,2.684,2.560,#REF!,#REF!,#REF!,7.7,1.9,2.6,459348
103,,,17,3,2.358,2.505,5.9,4.7,94.1,2.693,2.560,#REF!,#REF!,#REF!,6.2,2.0,2.7,459348
104,,,17,4,2.342,2.505,6.5,4.7,93.5,2.693,2.560,#REF!,#REF!,#REF!,7.0,2.0,2.7,459348
