S.No,Date,Time,Months,Sample,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Traffic
16,18-10-2019,Month 2,2,6,2.287,2.505,8.7,4.9,91.3,2.702,2.560,99.86,91.29,91.2,9.5,2.1,2.8,52094
17,18-10-2019,Month 2,2,7,2.287,2.505,8.7,5.1,91.3,2.711,2.560,99.84,91.28,91.1,9.5,2.3,2.8,52094
18,18-10-2019,Month 2,2,8,2.283,2.505,8.9,5.1,91.1,2.711,2.560,99.82,91.12,91.0,9.7,2.3,2.8,52094
19,18-10-2019,Month 2,2,9,2.329,2.505,7.0,5.4,93,2.725,2.560,99.79,92.96,92.8,7.6,2.5,2.9,52094
20,18-10-2019,Month 2,2,10,2.342,2.505,6.5,5.4,93.5,2.725,2.560,99.76,93.48,93.3,7.0,2.5,2.9,52094
21,19-11-2019,Month 3,3,1,2.42,2.505,3.4,5.3,96.6,2.720,2.560,99.98,96.61,96.6,3.5,2.4,2.9,78331
22,18-10-2019,Month 2,3,2,2.388,2.505,4.7,5.3,95.9,2.720,2.560,99.95,95.33,95.3,4.9,2.4,2.9,78331
23,18-10-2019,Month 2,3,3,2.39,2.505,4.6,5.7,96,2.739,2.560,99.93,95.41,95.3,4.8,2.7,3.0,78331
24,18-10-2019,Month 2,3,4,2.378,2.505,5.1,5.7,95.5,2.739,2.560,99.90,94.93,94.8,5.3,2.7,3.0,78331
25,18-10-2019,Month 2,3,5,2.36,2.505,5.8,5.5,94.8,2.730,2.560,99.88,94.20,94.1,6.1,2.5,3.0,78331
26,18-10-2019,Month 2,3,6,2.299,2.505,8.2,5.5,91.8,2.730,2.560,99.86,91.76,91.6,9.0,2.5,3.0,78331
27,18-10-2019,Month 2,3,7,2.325,2.505,7.2,5.5,92.8,2.730,2.560,99.84,92.80,92.7,7.7,2.5,3.0,78331
28,18-10-2019,Month 2,3,8,2.325,2.505,7.2,5.5,92.8,2.730,2.560,99.81,92.80,92.6,7.7,2.5,3.0,78331
29,18-10-2019,Month 2,3,9,2.347,2.505,6.3,5,93.7,2.706,2.560,99.79,93.68,93.5,6.7,2.2,2.8,78331
30,18-10-2019,Month 2,3,10,2.364,2.505,5.6,5,94.4,2.706,2.560,99.76,94.36,94.1,6.0,2.2,2.8,78331
31,24-12-2019,Month 4,4,1,2.318,2.505,7.5,4.6,92.5,2.688,2.560,99.98,92.53,92.5,8.1,1.9,2.7,104696
32,24-12-2019,Month 4,4,2,2.335,2.505,6.8,4.6,93.2,2.688,2.560,99.95,93.21,93.2,7.3,1.9,2.7,104696
33,24-12-2019,Month 4,4,3,2.294,2.505,8.4,4.8,91.6,2.697,2.560,99.93,91.57,91.5,9.2,2.1,2.7,104696
34,24-12-2019,Month 4,4,4,2.36,2.505,5.8,4.8,94.2,2.697,2.560,99.90,94.21,94.1,6.1,2.1,2.7,104696
35,24-12-2019,Month 4,4,5,2.332,2.505,6.9,4.7,93.1,2.693,2.560,99.88,93.09,93.0,7.4,2.0,2.7,104696
36,24-12-2019,Month 4,4,6,2.399,2.505,4.2,4.7,95.8,2.693,2.560,99.85,95.76,95.6,4.4,2.0,2.7,104696
37,24-12-2019,Month 4,4,7,2.297,2.505,8.3,4.8,91.7,2.697,2.560,99.84,91.68,91.5,9.1,2.1,2.7,104696
38,24-12-2019,Month 4,4,8,2.313,2.505,7.7,4.8,92.3,2.697,2.560,99.81,92.32,92.1,8.3,2.1,2.7,104696
39,24-12-2019,Month 4,4,9,2.309,2.505,7.8,4.7,92.2,2.693,2.560,99.79,92.16,92.0,8.5,2.0,2.7,104696
40,24-12-2019,Month 4,4,10,2.339,2.505,6.6,4.7,93.4,2.693,2.560,99.76,93.36,93.1,7.1,2.0,2.7,104696
41,28-01-2020,Month 5,5,1,2.316,2.505,7.5,5.6,92.5,2.734,2.560,99.98,92.45,92.4,8.2,2.6,3.0,131189
42,28-01-2020,Month 5,5,2,2.314,2.505,7.6,5.6,92.4,2.734,2.560,99.95,92.37,92.3,8.3,2.6,3.0,131189
