S.No,Date,Time,,Sample,Pagg,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Film thickness,Traffic
72,,,15,8,94.5,2.229,2.359,5.5,4.3,94.5,2.502,2.361,10.81,49.02,5.3,5.8,2.5,1.8,8.70,4.3141
73,7/10/2021,Month 19,19,1,95.6,2.295,2.401,4.4,4.6,95.6,2.563,2.361,7.12,37.88,2.7,4.6,3.5,1.1,8.70,5.5275
74,,,19,2,93.6,2.247,2.401,6.4,4.3,93.6,2.552,2.361,10.99,41.44,4.6,6.9,3.3,1.0,8.70,5.5275
75,,,19,3,96.6,2.319,2.401,3.4,4.3,96.6,2.552,2.361,5.12,33.59,1.7,3.5,3.3,1.0,8.70,5.5275
76,,,19,4,95.9,2.303,2.401,4.1,4.1,95.9,2.544,2.361,6.48,36.81,2.4,4.3,3.2,0.9,8.70,5.5275
77,,,19,5,96.3,2.312,2.401,3.7,4.6,96.3,2.563,2.361,5.75,35.28,2.0,3.9,3.5,1.1,8.70,5.5275
78,,,19,6,95.8,2.300,2.401,4.2,4.6,95.8,2.563,2.361,6.73,37.26,2.5,4.4,3.5,1.1,8.70,5.5275
79,,,19,7,95.9,2.303,2.401,4.1,4.3,95.9,2.552,2.361,6.49,36.82,2.4,4.3,3.3,1.0,8.70,5.5275
80,,,19,8,96.7,2.321,2.401,3.3,4.6,96.7,2.563,2.361,4.97,33.13,1.6,3.4,3.5,1.1,8.70,5.5275
81,8/10/2021,Month 20,20,1,97.4,2.298,2.359,2.6,4.8,97.4,2.521,2.361,5.20,50.29,2.6,2.7,2.8,2.0,8.70,5.8352
82,,,20,2,95.2,2.245,2.359,4.8,4.0,95.2,2.491,2.361,9.51,49.26,4.7,5.1,2.3,1.7,8.70,5.8352
83,,,20,3,96.7,2.280,2.359,3.3,3.9,96.7,2.487,2.361,6.64,49.88,3.3,3.4,2.2,1.7,8.70,5.8352
84,,,20,4,98.0,2.313,2.359,2.0,4.2,98.0,2.498,2.361,3.98,50.75,2.0,2.0,2.4,1.8,8.70,5.8352
85,,,20,5,96.7,2.282,2.359,3.3,4.8,96.7,2.521,2.361,6.54,49.91,3.3,3.4,2.8,2.0,8.70,5.8352
86,9/15/2021,Month 21,21,1,92.8,2.227,2.401,7.2,4.4,92.8,2.555,2.361,12.53,42.15,5.3,7.8,3.3,1.1,8.70,6.1446
87,,,21,2,96.8,2.323,2.401,3.2,4.6,96.8,2.563,2.361,4.79,32.52,1.6,3.3,3.5,1.1,8.70,6.1446
88,,,21,3,95.8,2.300,2.401,4.2,4.4,95.8,2.555,2.361,6.70,37.19,2.5,4.4,3.3,1.1,8.70,6.1446
89,,,21,4,96.7,2.321,2.401,3.3,4.6,96.7,2.563,2.361,4.95,33.07,1.6,3.4,3.5,1.1,8.70,6.1446
90,,,21,5,94.6,2.271,2.401,5.4,4.5,94.6,2.559,2.361,9.01,40.06,3.6,5.7,3.4,1.1,8.70,6.1446
91,10/22/2021,Month 22,22,1,97.0,2.329,2.401,3.0,4.4,97.0,2.555,2.361,4.34,30.80,1.3,3.1,3.3,1.1,8.70,6.4557
92,,,22,2,96.5,2.318,2.401,3.5,4.4,96.5,2.555,2.361,5.24,33.96,1.8,3.6,3.3,1.1,8.70,6.4557
93,,,22,3,93.6,2.246,2.401,6.4,3.9,93.6,2.536,2.361,10.99,41.44,4.6,6.9,3.0,0.9,8.70,6.4557
94,,,22,4,96.4,2.314,2.401,3.6,3.9,96.4,2.536,2.361,5.54,34.75,1.9,3.7,3.0,0.9,8.70,6.4557
95,,,22,5,95.6,2.296,2.401,4.4,4.6,95.6,2.563,2.361,7.05,37.76,2.7,4.6,3.5,1.1,8.70,6.4557
96,,,22,6,95.5,2.293,2.401,4.5,4.6,95.5,2.563,2.361,7.30,38.14,2.8,4.7,3.5,1.1,8.70,6.4557
97,,,22,7,95.2,2.287,2.401,4.8,4.4,95.2,2.555,2.361,7.77,38.76,3.0,5.0,3.3,1.1,8.70,6.4557
98,,,22,8,95.2,2.286,2.401,4.8,4.7,95.2,2.567,2.361,7.81,38.81,3.0,5.0,3.5,1.2,8.70,6.4557
99,11/26/2021,Month 23,23,1,94.0,2.218,2.359,6.0,4.3,94.0,2.502,2.361,11.69,48.86,5.7,6.4,2.5,1.8,8.70,6.7686
100,,,23,2,94.6,2.232,2.359,5.4,4.3,94.6,2.502,2.361,10.53,49.07,5.2,5.7,2.5,1.8,8.70,6.7686
101,,,23,3,95.2,2.247,2.359,4.8,4.6,95.2,2.513,2.361,9.39,49.29,4.6,5.0,2.7,1.9,8.70,6.7686
102,,,23,4,94.0,2.218,2.359,6.0,4.6,94.0,2.513,2.361,11.69,48.86,5.7,6.4,2.7,1.9,8.70,6.7686
103,,,23,5,96.6,2.278,2.359,3.4,4.4,96.6,2.506,2.361,6.83,49.84,3.4,3.5,2.5,1.9,8.70,6.7686
104,,,23,6,96.2,2.268,2.359,3.8,4.4,96.2,2.506,2.361,7.64,49.65,3.8,4.0,2.5,1.9,8.70,6.7686
105,,,23,7,97.5,2.300,2.359,2.5,4.4,97.5,2.506,2.361,5.06,50.33,2.5,2.6,2.5,1.9,8.70,6.7686
106,,,23,8,97.3,2.294,2.359,2.7,4.4,97.3,2.506,2.361,5.50,50.19,2.8,2.8,2.5,1.9,8.70,6.7686
107,7/5/2022,Month 31,31,1,96.3,2.271,2.359,3.7,4.3,96.3,2.502,2.361,7.41,49.70,3.7,3.9,2.5,1.8,8.70,9.3363
108,,,31,2,95.9,2.262,2.359,4.1,4.5,95.9,2.509,2.361,8.13,49.54,4.0,4.3,2.6,1.9,8.70,9.3363
109,,,31,3,96.1,2.266,2.359,3.9,4.5,96.1,2.509,2.361,7.79,49.62,3.9,4.1,2.6,1.9,8.70,9.3363
110,,,31,4,97.2,2.333,2.401,2.8,5,97.2,2.579,2.361,3.97,29.08,1.2,2.9,3.7,1.3,8.70,9.3363
111,,,31,5,96.0,2.305,2.401,4.0,5,96.0,2.579,2.361,6.29,36.45,2.3,4.2,3.7,1.3,8.70,9.3363
112,,,31,6,97.9,2.350,2.401,2.1,4.8,97.9,2.571,2.361,2.60,18.21,0.5,2.2,3.6,1.2,8.70,9.3363
113,,,31,7,96.8,2.324,2.401,3.2,4.9,96.8,2.575,2.361,4.70,32.22,1.5,3.3,3.6,1.3,8.70,9.3363
114,,,31,8,95.6,2.256,2.359,4.4,4.9,95.6,2.525,2.361,8.65,49.43,4.3,4.6,2.8,2.1,8.70,9.3363
115,,,31,9,95.9,2.262,2.359,4.1,4.7,95.9,2.517,2.361,8.15,49.54,4.0,4.3,2.7,2.0,8.70,9.3363
116,,,31,10,95.9,2.263,2.359,4.1,4.7,95.9,2.517,2.361,8.04,49.56,4.0,4.2,2.7,2.0,8.70,9.3363
