S.No,Date,Time,Sample,Month,Pagg,Gmb,Gmm,"Air-voids, Va",Binder Content,Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,"Traffic, msa"
83,2020/11/12,Month 15,3,15,95.1,2.334,2.505,6.8,4.9,93.2,2.607,2.560,13.29,48.62,6.5,7.3,0.7,4.2,0.4033
84,2020/11/12,Month 15,4,15,95.1,2.326,2.505,7.1,4.9,92.9,2.607,2.560,13.58,47.39,6.4,7.7,0.7,4.2,0.4033
85,2020/11/12,Month 15,5,15,95.6,2.357,2.505,5.9,4.4,94.1,2.607,2.560,11.97,50.65,6.1,6.3,0.7,3.7,0.4033
86,2020/11/12,Month 15,6,15,95.6,2.364,2.505,5.6,4.4,94.4,2.607,2.560,11.71,51.93,6.1,6.0,0.7,3.7,0.4033
87,2020/11/12,Month 15,7,15,94.9,2.359,2.505,5.8,5.1,94.2,2.607,2.560,12.54,53.53,6.7,6.2,0.7,4.4,0.4033
88,2020/11/12,Month 15,8,15,94.9,2.353,2.505,6.1,5.1,93.9,2.607,2.560,12.76,52.46,6.7,6.5,0.7,4.4,0.4033
89,2020/11/12,Month 15,9,15,95.4,2.381,2.505,5.0,4.6,95.0,2.607,2.560,11.26,56.04,6.3,5.2,0.7,3.9,0.4033
90,2020/11/12,Month 15,10,15,95.4,2.366,2.505,5.5,4.6,94.5,2.607,2.560,11.82,53.05,6.3,5.9,0.7,3.9,0.4033
91,2020/12/10,Month 16,1,16,95.0,2.316,2.505,7.5,5.0,92.5,2.607,2.560,14.05,46.28,6.5,8.2,0.7,4.3,0.4313
92,2020/12/10,Month 16,2,16,95.2,2.314,2.505,7.6,4.8,92.4,2.607,2.560,13.94,45.30,6.3,8.3,0.7,4.1,0.4313
93,2020/12/10,Month 16,3,16,95.1,2.352,2.505,6.1,4.9,93.9,2.607,2.560,12.62,51.59,6.5,6.5,0.7,4.2,0.4313
94,2020/12/10,Month 16,4,16,95.4,2.306,2.505,7.9,4.6,92.1,2.607,2.560,14.06,43.48,6.1,8.6,0.7,3.9,0.4313
95,2020/12/10,Month 16,5,16,95.1,2.378,2.505,5.1,4.9,94.9,2.607,2.560,11.65,56.49,6.6,5.3,0.7,4.2,0.4313
96,2020/12/10,Month 16,6,16,95.2,2.393,2.505,4.5,4.8,95.5,2.607,2.560,11.00,59.36,6.5,4.7,0.7,4.1,0.4313
97,2020/12/10,Month 16,7,16,95.1,2.381,2.505,5.0,4.9,95.0,2.607,2.560,11.54,57.10,6.6,5.2,0.7,4.2,0.4313
98,2020/12/10,Month 16,8,16,95.1,2.380,2.505,5.0,4.9,95.0,2.607,2.560,11.58,56.90,6.6,5.3,0.7,4.2,0.4313
99,2020/12/10,Month 16,9,16,95.3,2.350,2.505,6.2,4.7,93.8,2.607,2.560,12.51,50.53,6.3,6.6,0.7,4.0,0.4313
100,2020/12/10,Month 16,10,16,95.0,2.372,2.505,5.3,5.0,94.7,2.607,2.560,11.97,55.63,6.7,5.6,0.7,4.3,0.4313
101,2021/01/07,Month 17,1,17,95.4,2.389,2.505,4.6,4.6,95.4,2.607,2.560,10.96,57.76,6.3,4.9,0.7,3.9,0.4593
102,2021/01/07,Month 17,2,17,95.4,2.342,2.505,6.5,4.6,93.5,2.607,2.560,12.71,48.82,6.2,7.0,0.7,3.9,0.4593
