S.No,Date,Time,,Sample,Pagg,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Film thickness,Traffic,,,,,,,S.No,Date,Time,Sample,Gmb,Gmm,"Air Voids,",Binder Content (%),Density
42,,,17,4,93.2,2.288,2.455,6.8,5.0,93.2,2.645,2.707,21.23,67.95,14.4,7.3,8.70,0.26091,,,,,,,41,,,3,2.306,2.455,6.1,4.9,93.9
43,,,17,5,91.3,2.241,2.455,8.7,5.0,91.3,2.645,2.707,24.47,64.29,15.7,9.6,8.70,0.32706,,,,,,,42,,,4,2.288,2.455,6.8,5.0,93.2
44,,,17,6,91.7,2.251,2.455,8.3,5.1,91.7,2.650,2.707,23.73,65.05,15.4,9.0,8.70,0.39359,,,,,,,43,,,5,,2.455,,5.0,
45,,,17,7,95.7,2.350,2.455,4.3,4.8,95.7,2.637,2.707,16.90,74.70,12.6,4.5,8.70,0.46049,,,,,,,44,,,6,,2.455,,5.1,
46,,,17,8,95.8,2.352,2.455,4.2,4.8,95.8,2.636,2.707,16.73,75.04,12.6,4.4,8.70,0.52777,,,,,,,45,,,7,2.350,2.455,4.3,4.8,95.7
47,2/11/2021,Month 18,18,1,97.6,2.337,2.395,2.4,4.9,97.6,2.567,2.707,15.76,84.64,13.3,2.5,8.70,0.06468,,,,,,,,,,std,0.02,,0.94,0.28,0.94
48,,,18,2,95.1,2.278,2.395,4.9,4.9,95.1,2.567,2.707,19.95,75.55,15.1,5.1,8.70,0.12972,,,,,,,47,2/11/2021,Month 18,1,,2.395,,4.9,
49,,,18,3,94.6,2.267,2.395,5.4,4.9,94.6,2.566,2.707,20.75,74.18,15.4,5.7,8.70,0.19513,,,,,,,48,,,2,2.278,2.395,4.9,4.9,95.1
50,,,18,4,96.2,2.304,2.395,3.8,4.9,96.2,2.566,2.707,18.10,79.09,14.3,3.9,8.70,0.26091,,,,,,,49,,,3,2.267,2.395,5.4,4.9,94.6
51,,,18,5,91.9,2.202,2.395,8.1,4.9,91.9,2.568,2.707,25.21,68.04,17.2,8.8,8.70,0.32706,,,,,,,50,,,4,2.304,2.395,3.8,4.9,96.2
52,,,18,6,92.5,2.215,2.395,7.5,4.9,92.5,2.568,2.707,24.35,69.07,16.8,8.1,8.70,0.39359,,,,,,,51,,,5,,2.395,,4.9,
